X,Y,kind
-1.820893358133811,-7.5637247355917,crop
-1.8124400438290456,-7.45155063622874,crop
-1.7904623162823239,-7.266852305506122,crop
-1.8106352533004288,-7.09093894575008,crop
-1.7996157036241152,-6.955597956810883,crop
-1.8155430517951978,-6.7530760466304205,crop
-1.7990446177851958,-6.6090151129844665,crop
-1.8041177856921056,-6.464965278715756,crop
-1.8025024212096241,-6.32488035913207,crop
-1.8073349546051307,-6.162977766792566,crop
-1.8062827288974173,-6.041580803728117,crop
-1.8036588724100173,-5.866377348221521,crop
-1.8199775892452075,-5.736905422080141,crop
-1.7934847489386434,-5.614540924038159,crop
-1.8071696721090995,-5.434810816778055,crop
-1.8222164415583917,-5.27371229967496,crop
-1.8008699262144188,-5.089098424156477,crop
-1.8186638993572024,-4.936876448820665,crop
-1.8102396892318255,-4.794538868432799,crop
-1.815482751537278,-4.6277899571201555,crop
-1.8253410634150353,-4.4911242019332995,crop
-1.8152083969347417,-4.3036031933111225,crop
-1.7938084136008545,-4.113740163636113,crop
-1.809824763250872,-3.937010652786699,crop
-1.8072301193250402,-3.7956525390478983,crop
-1.8171955543858391,-3.6108031400409186,crop
-1.818263385946009,-3.4534472295042042,crop
-1.7940836238201734,-3.3095123388460714,crop
-1.8081635072452336,-3.1451823056403083,crop
-1.7978220941082788,-2.9415883746327425,crop
-1.8083353816938816,-2.7921043144169864,crop
-1.8201855336478379,-2.634487606062288,crop
-1.805787844390436,-2.4912075107437377,crop
-1.7974041350312147,-2.3256347806704123,crop
-1.81383330843018,-2.1499536399589494,crop
-1.812852643398162,-2.001632317592595,crop
-1.8151097796297664,-1.811270465666897,crop
-1.817562216146843,-1.6147837648279686,crop
-1.8151609487076188,-1.4444156573619762,crop
-1.8027331712881622,-1.2932631208276812,crop
-1.8143012575305646,-1.1834915971440734,crop
-1.8158201846115878,-1.0327178062815228,crop
-1.8294715344589914,-0.8487360837605685,crop
-1.816676691565886,-0.7251567213345004,crop
-1.8251887617174327,-0.5776590361880581,crop
-1.80688143448595,-0.45205529533893396,crop
-1.8214959126095658,-0.2714568914537928,crop
-1.8156640616774544,-0.11321804548682798,crop
-1.811600820098984,0.08429537250744215,crop
-1.8056058307391751,0.23868697445644696,crop
-1.8005264616244487,0.40501025484104003,crop
-1.8096591356466936,0.5459739302045182,crop
-1.8096343854044303,0.6807243744814254,crop
